URI Commands to launch Windows 10 Apps
App	URI Command
3D Builder	com.microsoft.builder3d:
3D Viewer	com.microsoft.3dviewer:
Action Center	ms-actioncenter:
Alarms & Clock	ms-clock:
Available Networks	ms-availablenetworks:
Calculator	calculator:
Calendar	outlookcal:
Camera	microsoft.windows.camera:
Candy Crush Soda Saga	candycrushsodasaga:
Connect	ms-projection:
Cortana	ms-cortana:
Cortana Connected Services	ms-cortana://notebook/?ConnectedServices
Cortana Personal Information	ms-cortana://settings/ManageBingProfile
Device Discovery	ms-settings-connectabledevices:devicediscovery
Drawboard PDF	drawboardpdf:
Facebook	fb:
Feedback Hub	feedback-hub:
Get Help	ms-contact-support:
Groove Music	mswindowsmusic:
Mail	outlookmail:
Maps	bingmaps:
ms-drive-to:
ms-walk-to:
Messaging	ms-chat:
Microsoft Edge	microsoft-edge:
Microsoft News	bingnews:
Microsoft Solitaire Collection	xboxliveapp-1297287741:
Microsoft Store	ms-windows-store:
Microsoft Store – Music	microsoftmusic:
Microsoft Store – Movies & TV	microsoftvideo:
Microsoft Whiteboard	ms-whiteboard-cmd:
Minecraft: Windows 10 Edition	minecraft:
Mixed Reality Camera	ms-holocamera:
Mixed Reality Portal	ms-holographicfirstrun:
Movies & TV	mswindowsvideo:
Networks	ms-availablenetworks:
OneNote	onenote:
Paint 3D	ms-paint:
People	ms-people:​_​_
People – Settings	ms-people:settings
Photos	ms-photos:
Project Display	ms-settings-displays-topology:projection
Screen Snip	ms-screenclip:
Settings	ms-settings:
Snip & Sketch	ms-ScreenSketch:
Tips	ms-get-started:
Twitter	twitter:
Weather	bingweather: OR msnweather:
Windows Mixed Reality Environments	ms-environment-builder:
Windows Parental Controls	ms-wpc:
Windows Security	windowsdefender:
Xbox	xbox:
Xbox – Friends list	​_xbox-friendfinder:
Xbox – Profile page	xbox-profile:
Xbox – Network settings	xbox-network:
Xbox – Settings	xbox-settings:​_
Xbox One SmartGlass	smartglass:
